Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,913.0,18.0,110.0,913.0,0.1,59.406000000000034,0.0,0.0,82.11327004432678,,,,,,,,,,,,,,,,,,,,,20.82373283339158,16.387226281376623,57.22979174201924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,947.0,19.0,34.0,947.0,0.1,12.508999999999991,0.0,0.0,85.51030468940735,,,,,,,,,,,,,,,,,,,,,3.1382932830212273,4.06073221428388,12.427139880999398,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1005.0,20.0,58.0,1005.0,0.1,36.107,0.0,0.0,91.06874752044678,,,,,,,,,,,,,,,,,,,,,12.325174819977082,12.02858903872986,35.46303045832752,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,70.0,1.0,70.0,1075.0,0.1,28.007000000000044,0.0,0.0,191.8872776031494,,,,,,,,,,,,,,,,,,,,,7.849260024740284,8.326320284869103,27.51254938448778,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,106.0,2.0,36.0,1111.0,0.1,16.90600000000002,0.0,0.0,195.86603236198425,,,,,,,,,,,,,,,,,,,,,5.06546677484827,5.5976530105765905,16.757140720405555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,156.0,3.0,50.0,1161.0,0.1,29.009000000000025,0.0,0.0,200.7569489479065,,,,,,,,,,,,,,,,,,,,,9.363407845957802,9.819303528195904,28.59799700371254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,259.0,4.0,103.0,1264.0,0.1,54.12999999999995,0.0,0.0,210.33467364311218,,,,,,,,,,,,,,,,,,,,,14.966106200687216,17.60142621313174,52.69382601954229,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,288.0,5.0,29.0,1293.0,0.1,14.204999999999995,0.0,0.0,213.33455538749695,,,,,,,,,,,,,,,,,,,,,4.435747993388663,4.864129943063755,14.10455832027396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,349.0,6.0,61.0,1354.0,0.1,36.50999999999999,0.0,0.0,219.4109845161438,,,,,,,,,,,,,,,,,,,,,11.985428747857247,12.14832559422981,35.85055410403467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,420.0,7.0,71.0,1425.0,0.1,46.608999999999995,0.0,0.0,226.14002203941345,,,,,,,,,,,,,,,,,,,,,16.31027116681656,15.416158012171373,45.54200922359398,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
